GISJOIN,Date of Post,Date of Incident,Time of Post,Time of Incident,Area,Abscissa (x),Ordinate (y),Khodor,Ahmad,GS,Folder Source,URL Source,,Platform,Format
,2024-01-14,2024-01-14,18:03:00,18:03:00,Kfar Kila,,,Yes,,,20240114_1803_QudsNen,https://twitter.com/QudsNen/status/1746563673269633215,Live,Twitter,mp4
,2024-01-16,2024-01-16,3:40:00,3:40:00,Meiss El Jabal,,,Yes,,,20240116_0340_CarlosL84862301,https://twitter.com/CarlosL84862301/status/1747071222616051754,Live,Twitter,mp4
,2024-01-16,2024-01-16,3:40:00,3:40:00,Meiss El Jabal,,,Yes,,,20240116_0340_CarlosL84862301,https://twitter.com/CarlosL84862301/status/1747071222616051754,Live,Twitter,mp4
,2024-01-18,2024-01-18,,9:00:00 AM,Meiss El Jabal,,,Yes,,,20240118 Meiss Ej Jabal,Green Southerners,Live,Green Southerners,mp4
,2024-01-18,2024-01-18,,9:00:00 AM,Meiss El Jabal,,,Yes,,,20240118 Meiss Ej Jabal,Green Southerners,Live,Green Southerners,mp4
,2024-01-18,2024-01-18,,9:00:00 AM,Meiss El Jabal,,,Yes,,,20240118 Meiss Ej Jabal,Green Southerners,Live,Green Southerners,mp4
,2024-01-18,2024-01-18,,9:00:00 AM,Meiss El Jabal,,,Yes,,,20240118 Meiss Ej Jabal,Green Southerners,Live,Green Southerners,mp4
,2024-01-31,2024-01-31,,4:00:00 PM,Kfar Kila,,,Yes,,,20240131_al-monitor,https://www.al-monitor.com/ar/originals/2024/02/hwshstayn-ywd-aly-asrayyl-hl-ystty-altwsl-aly-wqf-latlaq-alnar-fy-lbnan-aly-janb,Live,Twitter,mp4
,2024-01-31,2024-01-31,,4:00:00 PM,Kfar Kila,,,Yes,,,20240131_al-monitor,https://www.al-monitor.com/ar/originals/2024/02/hwshstayn-ywd-aly-asrayyl-hl-ystty-altwsl-aly-wqf-latlaq-alnar-fy-lbnan-aly-janb,Live,Twitter,mp4
,2024-01-31,2024-01-31,,4:00:00 PM,Kfar Kila,,,Yes,,,20240131_al-monitor,https://www.al-monitor.com/ar/originals/2024/02/hwshstayn-ywd-aly-asrayyl-hl-ystty-altwsl-aly-wqf-latlaq-alnar-fy-lbnan-aly-janb,Live,Twitter,mp4
